ID,Pollen,Week,Origin,Date
Y2L7,10.557,4,Local,7/8/16
Y2L8,18.282,4,Local,7/8/16
Y2L9,18.613,4,Local,7/8/16
Y2L10,26.822,4,Local,7/8/16
Y1C1,16.584,4,California,7/8/16
Y1C2,21.266,4,California,7/8/16
Y1C3,0,4,California,7/8/16
Y1C4,8.293,4,California,7/8/16
Y1C5,0.635,4,California,7/8/16
Y1C6,NA,4,California,7/8/16
Y1C7,NA,4,California,7/8/16
Y1C8,0,4,California,7/8/16
Y1C9,7.855,4,California,7/8/16
Y1C10,2.149,4,California,7/8/16
Y2C1,16.019,4,California,7/8/16
Y2C2,NA,4,California,7/8/16
Y2C3,16.09,4,California,7/8/16
Y2C4,13.91,4,California,7/8/16
Y2C5,NA,4,California,7/8/16
Y2C6,3.132,4,California,7/8/16
Y2C7,15.474,4,California,7/8/16
Y2C8,2.534,4,California,7/8/16
Y2C9,2.747,4,California,7/8/16
Y2C10,33.264,4,California,7/8/16
Y2L1,24.584,5,Local,7/14/16
Y2L2,41.013,5,Local,7/14/16
Y2L3,8.523,5,Local,7/14/16
Y2L4,37.389,5,Local,7/14/16
Y2L5,17.002,5,Local,7/14/16
Y2L6,1.035,5,Local,7/14/16
Y2L7,4.955,5,Local,7/14/16
Y2L8,11.763,5,Local,7/14/16
Y2L9,22.552,5,Local,7/14/16
Y2L10,34.083,5,Local,7/14/16
Y2C1,9.5,5,California,7/14/16
Y2C2,NA,5,California,7/14/16
Y2C3,3.805,5,California,7/14/16
Y2C4,9.317,5,California,7/14/16
Y2C5,NA,5,California,7/14/16
Y2C6,0.601,5,California,7/14/16
Y2C7,15.799,5,California,7/14/16
Y2C8,0.231,5,California,7/14/16
Y2C9,0,5,California,7/14/16
Y2C10,33.104,5,California,7/14/16
Y1L1,2.322,6,Local,7/21/16
Y1L2,3.164,6,Local,7/21/16
Y1L3,8.634,6,Local,7/21/16
Y1L4,0.701,6,Local,7/21/16
Y1L5,0.926,6,Local,7/21/16
Y1L6,1.517,6,Local,7/21/16
Y1L7,5.66,6,Local,7/21/16
Y1L8,NA,6,Local,7/21/16
Y1L9,5.075,6,Local,7/21/16
Y1L10,NA,6,Local,7/21/16
Y2L1,7.94,6,Local,7/21/16
Y2L2,20.744,6,Local,7/21/16
Y2L3,6.652,6,Local,7/21/16
Y2L4,44.303,6,Local,7/21/16
Y2L5,2.976,6,Local,7/21/16
Y2L6,NA,6,Local,7/21/16
Y2L7,2.558,6,Local,7/21/16
Y2L8,11.633,6,Local,7/21/16
Y2L9,17.399,6,Local,7/21/16
Y2L10,14.415,6,Local,7/21/16
Y1C1,3.645,6,California,7/21/16
Y1C2,NA,6,California,7/21/16
Y1C3,NA,6,California,7/21/16
Y1C4,8.235,6,California,7/21/16
Y1C5,NA,6,California,7/21/16
Y1C6,NA,6,California,7/21/16
Y1C7,NA,6,California,7/21/16
Y1C8,NA,6,California,7/21/16
Y1C9,2.09,6,California,7/21/16
Y1C10,NA,6,California,7/21/16
Y2C1,10.276,6,California,7/21/16
Y2C2,NA,6,California,7/21/16
Y2C3,3.474,6,California,7/21/16
Y2C4,6.417,6,California,7/21/16
Y2C5,NA,6,California,7/21/16
Y2C6,0.404,6,California,7/21/16
Y2C7,4.468,6,California,7/21/16
Y2C8,NA,6,California,7/21/16
Y2C9,NA,6,California,7/21/16
Y2C10,12.401,6,California,7/21/16
Y1L1,1.168,7,Local,7/26/16
Y1L2,3.703,7,Local,7/26/16
Y1L3,27.864,7,Local,7/26/16
Y1L4,1.183,7,Local,7/26/16
Y1L5,3.694,7,Local,7/26/16
Y1L6,9.611,7,Local,7/26/16
Y1L7,17.296,7,Local,7/26/16
Y1L8,NA,7,Local,7/26/16
Y1L9,4.411,7,Local,7/26/16
Y1L10,NA,7,Local,7/26/16
Y2L1,NA,7,Local,7/26/16
Y2L2,NA,7,Local,7/26/16
Y2L3,4.67,7,Local,7/26/16
Y2L4,74.901,7,Local,7/26/16
Y2L5,16.536,7,Local,7/26/16
Y2L6,NA,7,Local,7/26/16
Y2L7,6.919,7,Local,7/26/16
Y2L8,35.623,7,Local,7/26/16
Y2L9,75.658,7,Local,7/26/16
Y2L10,46.702,7,Local,7/26/16
Y1C1,12.809,7,California,7/26/16
Y1C2,20.353,7,California,7/26/16
Y1C3,NA,7,California,7/26/16
Y1C4,8.235,7,California,7/26/16
Y1C5,NA,7,California,7/26/16
Y1C6,NA,7,California,7/26/16
Y1C7,NA,7,California,7/26/16
Y1C8,NA,7,California,7/26/16
Y1C9,2.09,7,California,7/26/16
Y1C10,NA,7,California,7/26/16
Y2C1,25.88,7,California,7/26/16
Y2C2,NA,7,California,7/26/16
Y2C3,NA,7,California,7/26/16
Y2C4,NA,7,California,7/26/16
Y2C5,NA,7,California,7/26/16
Y2C6,NA,7,California,7/26/16
Y2C7,38.453,7,California,7/26/16
Y2C8,NA,7,California,7/26/16
Y2C9,NA,7,California,7/26/16
Y2C10,82.942,7,California,7/26/16
Y1L1,6.46,8,Local,8/3/16
Y1L2,5.89,8,Local,8/3/16
Y1L3,23.816,8,Local,8/3/16
Y1L4,0.828,8,Local,8/3/16
Y1L5,2.823,8,Local,8/3/16
Y1L6,18.386,8,Local,8/3/16
Y1L7,7.103,8,Local,8/3/16
Y1L8,NA,8,Local,8/3/16
Y1L9,6.843,8,Local,8/3/16
Y1L10,NA,8,Local,8/3/16
Y2L1,NA,8,Local,8/3/16
Y2L2,38.087,8,Local,8/3/16
Y2L3,40.62,8,Local,8/3/16
Y2L4,86.661,8,Local,8/3/16
Y2L5,79.091,8,Local,8/3/16
Y2L6,NA,8,Local,8/3/16
Y2L7,3.559,8,Local,8/3/16
Y2L8,30.369,8,Local,8/3/16
Y2L9,16.453,8,Local,8/3/16
Y2L10,63.167,8,Local,8/3/16
Y1C1,13.991,8,California,8/3/16
Y1C2,21.713,8,California,8/3/16
Y1C3,NA,8,California,8/3/16
Y1C4,3.821,8,California,8/3/16
Y1C5,NA,8,California,8/3/16
Y1C6,NA,8,California,8/3/16
Y1C7,NA,8,California,8/3/16
Y1C8,NA,8,California,8/3/16
Y1C9,10.085,8,California,8/3/16
Y1C10,NA,8,California,8/3/16
Y2C1,30.935,8,California,8/3/16
Y2C2,NA,8,California,8/3/16
Y2C3,19.343,8,California,8/3/16
Y2C4,19.615,8,California,8/3/16
Y2C5,NA,8,California,8/3/16
Y2C6,NA,8,California,8/3/16
Y2C7,56.712,8,California,8/3/16
Y2C8,NA,8,California,8/3/16
Y2C9,NA,8,California,8/3/16
Y2C10,82.426,8,California,8/3/16
Y1L1,8.129,9,Local,8/9/16
Y1L2,5.234,9,Local,8/9/16
Y1L3,15.991,9,Local,8/9/16
Y1L4,1.395,9,Local,8/9/16
Y1L5,0.831,9,Local,8/9/16
Y1L6,11.448,9,Local,8/9/16
Y1L7,15.016,9,Local,8/9/16
Y1L8,NA,9,Local,8/9/16
Y1L9,7.526,9,Local,8/9/16
Y1L10,NA,9,Local,8/9/16
Y2L1,7.976,9,Local,8/9/16
Y2L2,22.303,9,Local,8/9/16
Y2L3,6.905,9,Local,8/9/16
Y2L4,41.099,9,Local,8/9/16
Y2L5,7.685,9,Local,8/9/16
Y2L6,NA,9,Local,8/9/16
Y2L7,1.746,9,Local,8/9/16
Y2L8,13.97,9,Local,8/9/16
Y2L9,19.654,9,Local,8/9/16
Y2L10,28.843,9,Local,8/9/16
Y1C1,15.683,9,California,8/9/16
Y1C2,16.171,9,California,8/9/16
Y1C3,NA,9,California,8/9/16
Y1C4,15.788,9,California,8/9/16
Y1C5,NA,9,California,8/9/16
Y1C6,NA,9,California,8/9/16
Y1C7,NA,9,California,8/9/16
Y1C8,NA,9,California,8/9/16
Y1C9,10.585,9,California,8/9/16
Y1C10,NA,9,California,8/9/16
Y2C1,0,9,California,8/9/16
Y2C2,NA,9,California,8/9/16
Y2C3,16.201,9,California,8/9/16
Y2C4,3.26,9,California,8/9/16
Y2C5,NA,9,California,8/9/16
Y2C6,NA,9,California,8/9/16
Y2C7,17.184,9,California,8/9/16
Y2C8,NA,9,California,8/9/16
Y2C9,NA,9,California,8/9/16
Y2C10,8.164,9,California,8/9/16
